video_id,file_name,file_path,relative_path,parent_folder,category,binary_label,file_extension,file_size_mb,is_readable,fps,frame_count,width,height,duration_seconds,duration_minutes,valid_video,split
Abuse038_x264A,Abuse038_x264A.mp4,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse038_x264A.mp4,ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse038_x264A.mp4,Abuse,Abuse,1,.mp4,8.281,True,30.0,891,320,240,29.7,0.495,True,test
Abuse047_x264,Abuse047_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse047_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse047_x264.mp4,Abuse,Abuse,1,.mp4,8.574,True,30.0,1563,320,240,52.1,0.868,True,test
Abuse048_x264A,Abuse048_x264A.mp4,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse048_x264A.mp4,ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse048_x264A.mp4,Abuse,Abuse,1,.mp4,18.905,True,30.0,3416,320,240,113.867,1.898,True,test
Abuse049_x264A,Abuse049_x264A.mp4,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse049_x264A.mp4,ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse049_x264A.mp4,Abuse,Abuse,1,.mp4,13.66,True,30.0,2137,320,240,71.233,1.187,True,test
Abuse050_x264A,Abuse050_x264A.mp4,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse050_x264A.mp4,ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse050_x264A.mp4,Abuse,Abuse,1,.mp4,78.982,True,30.0,4862,320,240,162.067,2.701,True,test
Arrest001_x264,Arrest001_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arrest\Arrest001_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arrest\Arrest001_x264.mp4,Arrest,Arrest,1,.mp4,13.335,True,30.0,2374,320,240,79.133,1.319,True,test
Arrest002_x264A,Arrest002_x264A.mp4,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arrest\Arrest002_x264A.mp4,ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arrest\Arrest002_x264A.mp4,Arrest,Arrest,1,.mp4,8.014,True,30.0,1790,320,240,59.667,0.994,True,test
Arrest012_x264,Arrest012_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arrest\Arrest012_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arrest\Arrest012_x264.mp4,Arrest,Arrest,1,.mp4,128.211,True,30.0,16161,320,240,538.7,8.978,True,test
Arrest012_x264A,Arrest012_x264A.mp4,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arrest\Arrest012_x264A.mp4,ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arrest\Arrest012_x264A.mp4,Arrest,Arrest,1,.mp4,277.319,True,30.0,16161,320,240,538.7,8.978,True,test
Arrest013_x264A,Arrest013_x264A.mp4,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arrest\Arrest013_x264A.mp4,ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arrest\Arrest013_x264A.mp4,Arrest,Arrest,1,.mp4,3.466,True,30.0,1116,320,240,37.2,0.62,True,test
Arrest015_x264,Arrest015_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arrest\Arrest015_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arrest\Arrest015_x264.mp4,Arrest,Arrest,1,.mp4,5.877,True,30.0,976,320,240,32.533,0.542,True,test
Arrest015_x264A,Arrest015_x264A.mp4,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arrest\Arrest015_x264A.mp4,ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arrest\Arrest015_x264A.mp4,Arrest,Arrest,1,.mp4,4.775,True,30.0,976,320,240,32.533,0.542,True,test
Arrest023_x264,Arrest023_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arrest\Arrest023_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arrest\Arrest023_x264.mp4,Arrest,Arrest,1,.mp4,10.706,True,30.0,1807,320,240,60.233,1.004,True,test
Arrest023_x264A,Arrest023_x264A.mp4,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arrest\Arrest023_x264A.mp4,ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arrest\Arrest023_x264A.mp4,Arrest,Arrest,1,.mp4,8.307,True,30.0,1807,320,240,60.233,1.004,True,test
Arrest027_x264,Arrest027_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arrest\Arrest027_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arrest\Arrest027_x264.mp4,Arrest,Arrest,1,.mp4,13.566,True,30.0,1708,320,240,56.933,0.949,True,test
Arrest028_x264A,Arrest028_x264A.mp4,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arrest\Arrest028_x264A.mp4,ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arrest\Arrest028_x264A.mp4,Arrest,Arrest,1,.mp4,17.545,True,30.0,2495,320,240,83.167,1.386,True,test
Arrest037_x264,Arrest037_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arrest\Arrest037_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arrest\Arrest037_x264.mp4,Arrest,Arrest,1,.mp4,17.593,True,30.0,2132,320,240,71.067,1.184,True,test
Arrest042_x264,Arrest042_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arrest\Arrest042_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arrest\Arrest042_x264.mp4,Arrest,Arrest,1,.mp4,11.981,True,30.0,1590,320,240,53.0,0.883,True,test
Arrest049_x264,Arrest049_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arrest\Arrest049_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arrest\Arrest049_x264.mp4,Arrest,Arrest,1,.mp4,102.241,True,30.0,11799,320,240,393.3,6.555,True,test
Arrest050_x264A,Arrest050_x264A.mp4,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arrest\Arrest050_x264A.mp4,ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arrest\Arrest050_x264A.mp4,Arrest,Arrest,1,.mp4,60.147,True,29.97,7111,320,240,237.27,3.955,True,test
Arson003_x264A,Arson003_x264A.mp4,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arson\Arson003_x264A.mp4,ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arson\Arson003_x264A.mp4,Arson,Arson,1,.mp4,19.185,True,30.0,4013,320,240,133.767,2.229,True,test
Arson006_x264A,Arson006_x264A.mp4,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arson\Arson006_x264A.mp4,ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arson\Arson006_x264A.mp4,Arson,Arson,1,.mp4,9.433,True,30.0,2815,320,240,93.833,1.564,True,test
Arson010_x264A,Arson010_x264A.mp4,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arson\Arson010_x264A.mp4,ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arson\Arson010_x264A.mp4,Arson,Arson,1,.mp4,8.281,True,30.0,3159,320,240,105.3,1.755,True,test
Arson012_x264,Arson012_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arson\Arson012_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arson\Arson012_x264.mp4,Arson,Arson,1,.mp4,3.925,True,30.0,894,320,240,29.8,0.497,True,test
Arson017_x264,Arson017_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arson\Arson017_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arson\Arson017_x264.mp4,Arson,Arson,1,.mp4,4.883,True,30.0,1382,320,240,46.067,0.768,True,test
Arson018_x264,Arson018_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arson\Arson018_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arson\Arson018_x264.mp4,Arson,Arson,1,.mp4,6.475,True,30.0,842,320,240,28.067,0.468,True,test
Arson018_x264A,Arson018_x264A.mp4,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arson\Arson018_x264A.mp4,ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arson\Arson018_x264A.mp4,Arson,Arson,1,.mp4,5.474,True,30.0,842,320,240,28.067,0.468,True,test
Arson019_x264A,Arson019_x264A.mp4,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arson\Arson019_x264A.mp4,ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arson\Arson019_x264A.mp4,Arson,Arson,1,.mp4,946.217,True,30.0,126553,320,240,4218.433,70.307,True,test
Arson020_x264,Arson020_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arson\Arson020_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arson\Arson020_x264.mp4,Arson,Arson,1,.mp4,20.776,True,30.0,2427,320,240,80.9,1.348,True,test
Arson021_x264,Arson021_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arson\Arson021_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arson\Arson021_x264.mp4,Arson,Arson,1,.mp4,11.797,True,30.0,1441,320,240,48.033,0.801,True,test
Arson021_x264A,Arson021_x264A.mp4,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arson\Arson021_x264A.mp4,ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arson\Arson021_x264A.mp4,Arson,Arson,1,.mp4,9.468,True,30.0,1441,320,240,48.033,0.801,True,test
Arson025_x264,Arson025_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arson\Arson025_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arson\Arson025_x264.mp4,Arson,Arson,1,.mp4,31.955,True,30.0,5283,320,240,176.1,2.935,True,test
Arson028_x264A,Arson028_x264A.mp4,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arson\Arson028_x264A.mp4,ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arson\Arson028_x264A.mp4,Arson,Arson,1,.mp4,8.801,True,30.0,2409,320,240,80.3,1.338,True,test
Arson031_x264A,Arson031_x264A.mp4,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arson\Arson031_x264A.mp4,ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arson\Arson031_x264A.mp4,Arson,Arson,1,.mp4,8.058,True,30.0,2884,320,240,96.133,1.602,True,test
Arson047_x264A,Arson047_x264A.mp4,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arson\Arson047_x264A.mp4,ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Arson\Arson047_x264A.mp4,Arson,Arson,1,.mp4,11.256,True,30.0,1442,320,240,48.067,0.801,True,test
Assault001_x264A,Assault001_x264A.mp4,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Assault\Assault001_x264A.mp4,ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Assault\Assault001_x264A.mp4,Assault,Assault,1,.mp4,19.363,True,30.0,2486,320,240,82.867,1.381,True,test
Assault004_x264,Assault004_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Assault\Assault004_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Assault\Assault004_x264.mp4,Assault,Assault,1,.mp4,25.522,True,30.0,3223,320,240,107.433,1.791,True,test
Assault004_x264A,Assault004_x264A.mp4,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Assault\Assault004_x264A.mp4,ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Assault\Assault004_x264A.mp4,Assault,Assault,1,.mp4,40.229,True,30.0,3223,320,240,107.433,1.791,True,test
Assault008_x264,Assault008_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Assault\Assault008_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Assault\Assault008_x264.mp4,Assault,Assault,1,.mp4,61.519,True,30.0,7536,320,240,251.2,4.187,True,test
Assault017_x264,Assault017_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Assault\Assault017_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Assault\Assault017_x264.mp4,Assault,Assault,1,.mp4,23.601,True,30.0,2450,320,240,81.667,1.361,True,test
Assault019_x264,Assault019_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Assault\Assault019_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Assault\Assault019_x264.mp4,Assault,Assault,1,.mp4,16.137,True,30.0,2538,320,240,84.6,1.41,True,test
Assault022_x264,Assault022_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Assault\Assault022_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Assault\Assault022_x264.mp4,Assault,Assault,1,.mp4,16.183,True,30.0,2520,320,240,84.0,1.4,True,test
Assault025_x264,Assault025_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Assault\Assault025_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Assault\Assault025_x264.mp4,Assault,Assault,1,.mp4,11.112,True,30.0,1160,320,240,38.667,0.644,True,test
Assault028_x264,Assault028_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Assault\Assault028_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Assault\Assault028_x264.mp4,Assault,Assault,1,.mp4,21.047,True,30.0,2635,320,240,87.833,1.464,True,test
Assault031_x264,Assault031_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Assault\Assault031_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Assault\Assault031_x264.mp4,Assault,Assault,1,.mp4,6.27,True,30.0,756,320,240,25.2,0.42,True,test
Assault036_x264,Assault036_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Assault\Assault036_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Assault\Assault036_x264.mp4,Assault,Assault,1,.mp4,5.17,True,30.0,912,320,240,30.4,0.507,True,test
Assault039_x264,Assault039_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Assault\Assault039_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Assault\Assault039_x264.mp4,Assault,Assault,1,.mp4,1.933,True,30.0,295,320,240,9.833,0.164,True,test
Assault045_x264A,Assault045_x264A.mp4,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Assault\Assault045_x264A.mp4,ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Assault\Assault045_x264A.mp4,Assault,Assault,1,.mp4,4.3,True,30.0,1119,320,240,37.3,0.622,True,test
Assault050_x264,Assault050_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Assault\Assault050_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Assault\Assault050_x264.mp4,Assault,Assault,1,.mp4,4.169,True,30.0,623,320,240,20.767,0.346,True,test
Assault051_x264,Assault051_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Assault\Assault051_x264.mp4,ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Assault\Assault051_x264.mp4,Assault,Assault,1,.mp4,4.076,True,30.0,601,320,240,20.033,0.334,True,test
Burglary006_x264A,Burglary006_x264A.mp4,data\raw\ucf-crime\Burglary\Burglary006_x264A.mp4,ucf-crime\Burglary\Burglary006_x264A.mp4,Burglary,Burglary,1,.mp4,57.449,True,30.0,8937,320,240,297.9,4.965,True,test
Burglary009_x264A,Burglary009_x264A.mp4,data\raw\ucf-crime\Burglary\Burglary009_x264A.mp4,ucf-crime\Burglary\Burglary009_x264A.mp4,Burglary,Burglary,1,.mp4,7.662,True,30.0,2557,320,240,85.233,1.421,True,test
Burglary017_x264A,Burglary017_x264A.mp4,data\raw\ucf-crime\Burglary\Burglary017_x264A.mp4,ucf-crime\Burglary\Burglary017_x264A.mp4,Burglary,Burglary,1,.mp4,34.592,True,30.0,2113,320,240,70.433,1.174,True,test
Burglary018_x264A,Burglary018_x264A.mp4,data\raw\ucf-crime\Burglary\Burglary018_x264A.mp4,ucf-crime\Burglary\Burglary018_x264A.mp4,Burglary,Burglary,1,.mp4,1.152,True,30.0,1125,320,240,37.5,0.625,True,test
Burglary019_x264,Burglary019_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part_2\Anomaly-Videos-Part-2\Burglary\Burglary019_x264.mp4,ucf-crime\Anomaly-Videos-Part_2\Anomaly-Videos-Part-2\Burglary\Burglary019_x264.mp4,Burglary,Burglary,1,.mp4,20.849,True,30.0,2891,320,240,96.367,1.606,True,test
Burglary022_x264A,Burglary022_x264A.mp4,data\raw\ucf-crime\Burglary\Burglary022_x264A.mp4,ucf-crime\Burglary\Burglary022_x264A.mp4,Burglary,Burglary,1,.mp4,26.089,True,30.0,2838,320,240,94.6,1.577,True,test
Burglary025_x264A,Burglary025_x264A.mp4,data\raw\ucf-crime\Burglary\Burglary025_x264A.mp4,ucf-crime\Burglary\Burglary025_x264A.mp4,Burglary,Burglary,1,.mp4,18.714,True,30.0,6214,320,240,207.133,3.452,True,test
Burglary026_x264,Burglary026_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part_2\Anomaly-Videos-Part-2\Burglary\Burglary026_x264.mp4,ucf-crime\Anomaly-Videos-Part_2\Anomaly-Videos-Part-2\Burglary\Burglary026_x264.mp4,Burglary,Burglary,1,.mp4,11.829,True,30.0,1534,320,240,51.133,0.852,True,test
Burglary027_x264A,Burglary027_x264A.mp4,data\raw\ucf-crime\Burglary\Burglary027_x264A.mp4,ucf-crime\Burglary\Burglary027_x264A.mp4,Burglary,Burglary,1,.mp4,11.112,True,30.0,3096,320,240,103.2,1.72,True,test
Burglary029_x264A,Burglary029_x264A.mp4,data\raw\ucf-crime\Burglary\Burglary029_x264A.mp4,ucf-crime\Burglary\Burglary029_x264A.mp4,Burglary,Burglary,1,.mp4,14.606,True,30.0,5021,320,240,167.367,2.789,True,test
Burglary048_x264,Burglary048_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part_2\Anomaly-Videos-Part-2\Burglary\Burglary048_x264.mp4,ucf-crime\Anomaly-Videos-Part_2\Anomaly-Videos-Part-2\Burglary\Burglary048_x264.mp4,Burglary,Burglary,1,.mp4,9.128,True,30.0,1650,320,240,55.0,0.917,True,test
Burglary052_x264,Burglary052_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part_2\Anomaly-Videos-Part-2\Burglary\Burglary052_x264.mp4,ucf-crime\Anomaly-Videos-Part_2\Anomaly-Videos-Part-2\Burglary\Burglary052_x264.mp4,Burglary,Burglary,1,.mp4,79.254,True,30.0,9978,320,240,332.6,5.543,True,test
Burglary058_x264,Burglary058_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part_2\Anomaly-Videos-Part-2\Burglary\Burglary058_x264.mp4,ucf-crime\Anomaly-Videos-Part_2\Anomaly-Videos-Part-2\Burglary\Burglary058_x264.mp4,Burglary,Burglary,1,.mp4,56.044,True,30.0,11430,320,240,381.0,6.35,True,test
Burglary062_x264,Burglary062_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part_2\Anomaly-Videos-Part-2\Burglary\Burglary062_x264.mp4,ucf-crime\Anomaly-Videos-Part_2\Anomaly-Videos-Part-2\Burglary\Burglary062_x264.mp4,Burglary,Burglary,1,.mp4,42.799,True,30.0,11254,320,240,375.133,6.252,True,test
Burglary067_x264,Burglary067_x264.mp4,data\raw\ucf-crime\Anomaly-Videos-Part_2\Anomaly-Videos-Part-2\Burglary\Burglary067_x264.mp4,ucf-crime\Anomaly-Videos-Part_2\Anomaly-Videos-Part-2\Burglary\Burglary067_x264.mp4,Burglary,Burglary,1,.mp4,10.674,True,30.0,1312,320,240,43.733,0.729,True,test
Burglary082_x264A,Burglary082_x264A.mp4,data\raw\ucf-crime\Burglary\Burglary082_x264A.mp4,ucf-crime\Burglary\Burglary082_x264A.mp4,Burglary,Burglary,1,.mp4,9.778,True,30.0,2777,320,240,92.567,1.543,True,test
Burglary088_x264A,Burglary088_x264A.mp4,data\raw\ucf-crime\Burglary\Burglary088_x264A.mp4,ucf-crime\Burglary\Burglary088_x264A.mp4,Burglary,Burglary,1,.mp4,30.832,True,30.0,4879,320,240,162.633,2.711,True,test
