clip_id,video_id,file_path,category,binary_label,split,clip_index,start_seconds,end_seconds,clip_duration_seconds,source_video_duration_seconds,source_fps
Abuse003_x264_clip_00021,Abuse003_x264,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264.mp4,Abuse,1,test,21,84.0,88.0,4.0,123.3,30.0
Abuse003_x264_clip_00022,Abuse003_x264,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264.mp4,Abuse,1,test,22,88.0,92.0,4.0,123.3,30.0
Abuse003_x264_clip_00023,Abuse003_x264,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264.mp4,Abuse,1,test,23,92.0,96.0,4.0,123.3,30.0
Abuse003_x264_clip_00024,Abuse003_x264,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264.mp4,Abuse,1,test,24,96.0,100.0,4.0,123.3,30.0
Abuse003_x264_clip_00025,Abuse003_x264,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264.mp4,Abuse,1,test,25,100.0,104.0,4.0,123.3,30.0
Abuse003_x264_clip_00026,Abuse003_x264,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264.mp4,Abuse,1,test,26,104.0,108.0,4.0,123.3,30.0
Abuse003_x264_clip_00027,Abuse003_x264,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264.mp4,Abuse,1,test,27,108.0,112.0,4.0,123.3,30.0
Abuse003_x264_clip_00028,Abuse003_x264,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264.mp4,Abuse,1,test,28,112.0,116.0,4.0,123.3,30.0
Abuse003_x264_clip_00029,Abuse003_x264,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264.mp4,Abuse,1,test,29,116.0,120.0,4.0,123.3,30.0
Abuse003_x264_clip_00030,Abuse003_x264,data\raw\ucf-crime\Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264.mp4,Abuse,1,test,30,120.0,123.3,3.3,123.3,30.0
Abuse003_x264A_clip_00000,Abuse003_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264A.mp4,Abuse,1,test,0,0.0,4.0,4.0,123.3,30.0
Abuse003_x264A_clip_00001,Abuse003_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264A.mp4,Abuse,1,test,1,4.0,8.0,4.0,123.3,30.0
Abuse003_x264A_clip_00002,Abuse003_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264A.mp4,Abuse,1,test,2,8.0,12.0,4.0,123.3,30.0
Abuse003_x264A_clip_00003,Abuse003_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264A.mp4,Abuse,1,test,3,12.0,16.0,4.0,123.3,30.0
Abuse003_x264A_clip_00004,Abuse003_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264A.mp4,Abuse,1,test,4,16.0,20.0,4.0,123.3,30.0
Abuse003_x264A_clip_00005,Abuse003_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264A.mp4,Abuse,1,test,5,20.0,24.0,4.0,123.3,30.0
Abuse003_x264A_clip_00006,Abuse003_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264A.mp4,Abuse,1,test,6,24.0,28.0,4.0,123.3,30.0
Abuse003_x264A_clip_00007,Abuse003_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264A.mp4,Abuse,1,test,7,28.0,32.0,4.0,123.3,30.0
Abuse003_x264A_clip_00008,Abuse003_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264A.mp4,Abuse,1,test,8,32.0,36.0,4.0,123.3,30.0
Abuse003_x264A_clip_00009,Abuse003_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264A.mp4,Abuse,1,test,9,36.0,40.0,4.0,123.3,30.0
Abuse003_x264A_clip_00010,Abuse003_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264A.mp4,Abuse,1,test,10,40.0,44.0,4.0,123.3,30.0
Abuse003_x264A_clip_00011,Abuse003_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264A.mp4,Abuse,1,test,11,44.0,48.0,4.0,123.3,30.0
Abuse003_x264A_clip_00012,Abuse003_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264A.mp4,Abuse,1,test,12,48.0,52.0,4.0,123.3,30.0
Abuse003_x264A_clip_00013,Abuse003_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264A.mp4,Abuse,1,test,13,52.0,56.0,4.0,123.3,30.0
Abuse003_x264A_clip_00014,Abuse003_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264A.mp4,Abuse,1,test,14,56.0,60.0,4.0,123.3,30.0
Abuse003_x264A_clip_00015,Abuse003_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264A.mp4,Abuse,1,test,15,60.0,64.0,4.0,123.3,30.0
Abuse003_x264A_clip_00016,Abuse003_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264A.mp4,Abuse,1,test,16,64.0,68.0,4.0,123.3,30.0
Abuse003_x264A_clip_00017,Abuse003_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264A.mp4,Abuse,1,test,17,68.0,72.0,4.0,123.3,30.0
Abuse003_x264A_clip_00018,Abuse003_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264A.mp4,Abuse,1,test,18,72.0,76.0,4.0,123.3,30.0
Abuse003_x264A_clip_00019,Abuse003_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264A.mp4,Abuse,1,test,19,76.0,80.0,4.0,123.3,30.0
Abuse003_x264A_clip_00020,Abuse003_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264A.mp4,Abuse,1,test,20,80.0,84.0,4.0,123.3,30.0
Abuse003_x264A_clip_00021,Abuse003_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264A.mp4,Abuse,1,test,21,84.0,88.0,4.0,123.3,30.0
Abuse003_x264A_clip_00022,Abuse003_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264A.mp4,Abuse,1,test,22,88.0,92.0,4.0,123.3,30.0
Abuse003_x264A_clip_00023,Abuse003_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264A.mp4,Abuse,1,test,23,92.0,96.0,4.0,123.3,30.0
Abuse003_x264A_clip_00024,Abuse003_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264A.mp4,Abuse,1,test,24,96.0,100.0,4.0,123.3,30.0
Abuse003_x264A_clip_00025,Abuse003_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264A.mp4,Abuse,1,test,25,100.0,104.0,4.0,123.3,30.0
Abuse003_x264A_clip_00026,Abuse003_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264A.mp4,Abuse,1,test,26,104.0,108.0,4.0,123.3,30.0
Abuse003_x264A_clip_00027,Abuse003_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264A.mp4,Abuse,1,test,27,108.0,112.0,4.0,123.3,30.0
Abuse003_x264A_clip_00028,Abuse003_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264A.mp4,Abuse,1,test,28,112.0,116.0,4.0,123.3,30.0
Abuse003_x264A_clip_00029,Abuse003_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264A.mp4,Abuse,1,test,29,116.0,120.0,4.0,123.3,30.0
Abuse003_x264A_clip_00030,Abuse003_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse003_x264A.mp4,Abuse,1,test,30,120.0,123.3,3.3,123.3,30.0
Abuse009_x264A_clip_00000,Abuse009_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse009_x264A.mp4,Abuse,1,test,0,0.0,4.0,4.0,33.367,30.0
Abuse009_x264A_clip_00001,Abuse009_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse009_x264A.mp4,Abuse,1,test,1,4.0,8.0,4.0,33.367,30.0
Abuse009_x264A_clip_00002,Abuse009_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse009_x264A.mp4,Abuse,1,test,2,8.0,12.0,4.0,33.367,30.0
Abuse009_x264A_clip_00003,Abuse009_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse009_x264A.mp4,Abuse,1,test,3,12.0,16.0,4.0,33.367,30.0
Abuse009_x264A_clip_00004,Abuse009_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse009_x264A.mp4,Abuse,1,test,4,16.0,20.0,4.0,33.367,30.0
Abuse009_x264A_clip_00005,Abuse009_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse009_x264A.mp4,Abuse,1,test,5,20.0,24.0,4.0,33.367,30.0
Abuse009_x264A_clip_00006,Abuse009_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse009_x264A.mp4,Abuse,1,test,6,24.0,28.0,4.0,33.367,30.0
Abuse009_x264A_clip_00007,Abuse009_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse009_x264A.mp4,Abuse,1,test,7,28.0,32.0,4.0,33.367,30.0
Abuse012_x264A_clip_00000,Abuse012_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse012_x264A.mp4,Abuse,1,test,0,0.0,4.0,4.0,171.0,30.0
Abuse012_x264A_clip_00001,Abuse012_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse012_x264A.mp4,Abuse,1,test,1,4.0,8.0,4.0,171.0,30.0
Abuse012_x264A_clip_00002,Abuse012_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse012_x264A.mp4,Abuse,1,test,2,8.0,12.0,4.0,171.0,30.0
Abuse012_x264A_clip_00003,Abuse012_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse012_x264A.mp4,Abuse,1,test,3,12.0,16.0,4.0,171.0,30.0
Abuse012_x264A_clip_00004,Abuse012_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse012_x264A.mp4,Abuse,1,test,4,16.0,20.0,4.0,171.0,30.0
Abuse012_x264A_clip_00005,Abuse012_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse012_x264A.mp4,Abuse,1,test,5,20.0,24.0,4.0,171.0,30.0
Abuse012_x264A_clip_00006,Abuse012_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse012_x264A.mp4,Abuse,1,test,6,24.0,28.0,4.0,171.0,30.0
Abuse012_x264A_clip_00007,Abuse012_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse012_x264A.mp4,Abuse,1,test,7,28.0,32.0,4.0,171.0,30.0
Abuse012_x264A_clip_00008,Abuse012_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse012_x264A.mp4,Abuse,1,test,8,32.0,36.0,4.0,171.0,30.0
Abuse012_x264A_clip_00009,Abuse012_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse012_x264A.mp4,Abuse,1,test,9,36.0,40.0,4.0,171.0,30.0
Abuse012_x264A_clip_00010,Abuse012_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse012_x264A.mp4,Abuse,1,test,10,40.0,44.0,4.0,171.0,30.0
Abuse012_x264A_clip_00011,Abuse012_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse012_x264A.mp4,Abuse,1,test,11,44.0,48.0,4.0,171.0,30.0
Abuse012_x264A_clip_00012,Abuse012_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse012_x264A.mp4,Abuse,1,test,12,48.0,52.0,4.0,171.0,30.0
Abuse012_x264A_clip_00013,Abuse012_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse012_x264A.mp4,Abuse,1,test,13,52.0,56.0,4.0,171.0,30.0
Abuse012_x264A_clip_00014,Abuse012_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse012_x264A.mp4,Abuse,1,test,14,56.0,60.0,4.0,171.0,30.0
Abuse012_x264A_clip_00015,Abuse012_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse012_x264A.mp4,Abuse,1,test,15,60.0,64.0,4.0,171.0,30.0
Abuse012_x264A_clip_00016,Abuse012_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse012_x264A.mp4,Abuse,1,test,16,64.0,68.0,4.0,171.0,30.0
Abuse012_x264A_clip_00017,Abuse012_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse012_x264A.mp4,Abuse,1,test,17,68.0,72.0,4.0,171.0,30.0
Abuse012_x264A_clip_00018,Abuse012_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse012_x264A.mp4,Abuse,1,test,18,72.0,76.0,4.0,171.0,30.0
Abuse012_x264A_clip_00019,Abuse012_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse012_x264A.mp4,Abuse,1,test,19,76.0,80.0,4.0,171.0,30.0
Abuse012_x264A_clip_00020,Abuse012_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse012_x264A.mp4,Abuse,1,test,20,80.0,84.0,4.0,171.0,30.0
Abuse012_x264A_clip_00021,Abuse012_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse012_x264A.mp4,Abuse,1,test,21,84.0,88.0,4.0,171.0,30.0
Abuse012_x264A_clip_00022,Abuse012_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse012_x264A.mp4,Abuse,1,test,22,88.0,92.0,4.0,171.0,30.0
Abuse012_x264A_clip_00023,Abuse012_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse012_x264A.mp4,Abuse,1,test,23,92.0,96.0,4.0,171.0,30.0
Abuse012_x264A_clip_00024,Abuse012_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse012_x264A.mp4,Abuse,1,test,24,96.0,100.0,4.0,171.0,30.0
Abuse012_x264A_clip_00025,Abuse012_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse012_x264A.mp4,Abuse,1,test,25,100.0,104.0,4.0,171.0,30.0
Abuse012_x264A_clip_00026,Abuse012_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse012_x264A.mp4,Abuse,1,test,26,104.0,108.0,4.0,171.0,30.0
Abuse012_x264A_clip_00027,Abuse012_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse012_x264A.mp4,Abuse,1,test,27,108.0,112.0,4.0,171.0,30.0
Abuse012_x264A_clip_00028,Abuse012_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse012_x264A.mp4,Abuse,1,test,28,112.0,116.0,4.0,171.0,30.0
Abuse012_x264A_clip_00029,Abuse012_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse012_x264A.mp4,Abuse,1,test,29,116.0,120.0,4.0,171.0,30.0
Abuse012_x264A_clip_00030,Abuse012_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse012_x264A.mp4,Abuse,1,test,30,120.0,124.0,4.0,171.0,30.0
Abuse012_x264A_clip_00031,Abuse012_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse012_x264A.mp4,Abuse,1,test,31,124.0,128.0,4.0,171.0,30.0
Abuse012_x264A_clip_00032,Abuse012_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse012_x264A.mp4,Abuse,1,test,32,128.0,132.0,4.0,171.0,30.0
Abuse012_x264A_clip_00033,Abuse012_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse012_x264A.mp4,Abuse,1,test,33,132.0,136.0,4.0,171.0,30.0
Abuse012_x264A_clip_00034,Abuse012_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse012_x264A.mp4,Abuse,1,test,34,136.0,140.0,4.0,171.0,30.0
Abuse012_x264A_clip_00035,Abuse012_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse012_x264A.mp4,Abuse,1,test,35,140.0,144.0,4.0,171.0,30.0
Abuse012_x264A_clip_00036,Abuse012_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse012_x264A.mp4,Abuse,1,test,36,144.0,148.0,4.0,171.0,30.0
Abuse012_x264A_clip_00037,Abuse012_x264A,data\raw\ucf-crime\Augmented_Anomaly-Videos-Part-1\Anomaly-Videos-Part-1\Abuse\Abuse012_x264A.mp4,Abuse,1,test,37,148.0,152.0,4.0,171.0,30.0
